pos,0,-0.1643,-0.8569,0.5197,-1.1582
input,0,-0.0001,0.1519,0.0347,0.0000
target,0,-0.1634,-0.8173,0.5592,-1.1781
pos,1,-0.1637,-0.8714,0.5128,-1.1757
input,1,-0.0001,0.1496,0.0342,0.0000
target,1,-0.1624,-0.8271,0.5555,-1.1769
pos,2,-0.1616,-0.8802,0.5083,-1.1400
input,2,-0.0001,0.1474,0.0337,0.0000
target,2,-0.1615,-0.8376,0.5514,-1.1765
pos,3,-0.1619,-0.8888,0.5032,-1.1442
input,3,-0.0001,0.1452,0.0332,0.0000
target,3,-0.1604,-0.8478,0.5474,-1.1746
pos,4,-0.1607,-0.8981,0.4982,-1.1683
input,4,-0.0001,0.1430,0.0327,0.0000
target,4,-0.1596,-0.8576,0.5432,-1.1730
pos,5,-0.1597,-0.9024,0.4960,-1.1686
input,5,-0.0001,0.1408,0.0322,0.0000
target,5,-0.1587,-0.8674,0.5389,-1.1725
pos,6,-0.1574,-0.9140,0.4889,-1.1283
input,6,-0.0001,0.1387,0.0317,0.0000
target,6,-0.1577,-0.8763,0.5349,-1.1720
pos,7,-0.1569,-0.9179,0.4861,-1.0980
input,7,-0.0001,0.1366,0.0312,0.0000
target,7,-0.1566,-0.8855,0.5305,-1.1698
pos,8,-0.1557,-0.9305,0.4786,-1.1321
input,8,-0.0001,0.1346,0.0308,0.0000
target,8,-0.1556,-0.8940,0.5263,-1.1664
pos,9,-0.1549,-0.9341,0.4760,-1.1247
input,9,-0.0001,0.1326,0.0303,0.0000
target,9,-0.1545,-0.9029,0.5218,-1.1645
pos,10,-0.1535,-0.9420,0.4711,-1.1246
input,10,-0.0001,0.1306,0.0298,0.0000
target,10,-0.1535,-0.9111,0.5174,-1.1625
pos,11,-0.1524,-0.9496,0.4651,-1.1306
input,11,-0.0001,0.1286,0.0294,0.0000
target,11,-0.1525,-0.9191,0.5131,-1.1605
pos,12,-0.1506,-0.9567,0.4597,-1.1119
input,12,-0.0001,0.1267,0.0290,0.0000
target,12,-0.1514,-0.9270,0.5085,-1.1589
pos,13,-0.1482,-0.9678,0.4522,-1.1132
input,13,-0.0001,0.1248,0.0285,0.0000
target,13,-0.1502,-0.9348,0.5039,-1.1565
pos,14,-0.1482,-0.9713,0.4499,-1.1072
input,14,-0.0001,0.1229,0.0281,0.0000
target,14,-0.1489,-0.9430,0.4990,-1.1542
pos,15,-0.1448,-0.9815,0.4415,-1.1088
input,15,-0.0001,0.1211,0.0277,0.0000
target,15,-0.1478,-0.9504,0.4944,-1.1519
pos,16,-0.1432,-0.9880,0.4361,-1.1032
input,16,-0.0000,0.1193,0.0273,0.0000
target,16,-0.1463,-0.9582,0.4894,-1.1496
pos,17,-0.1431,-0.9951,0.4324,-1.0935
input,17,-0.0000,0.1175,0.0269,0.0000
target,17,-0.1449,-0.9658,0.4843,-1.1472
pos,18,-0.1421,-0.9985,0.4298,-1.1110
input,18,-0.0000,0.1157,0.0265,0.0000
target,18,-0.1436,-0.9732,0.4794,-1.1446
pos,19,-0.1397,-1.0042,0.4236,-1.0722
input,19,-0.0000,0.1140,0.0261,0.0000
target,19,-0.1424,-0.9800,0.4747,-1.1427
pos,20,-0.1383,-1.0143,0.4151,-1.1048
input,20,-0.0000,0.1123,0.0257,0.0000
target,20,-0.1409,-0.9866,0.4699,-1.1393
pos,21,-0.1370,-1.0203,0.4104,-1.1073
input,21,-0.0000,0.1106,0.0253,0.0000
target,21,-0.1396,-0.9937,0.4647,-1.1375
pos,22,-0.1366,-1.0236,0.4073,-1.1065
input,22,-0.0000,0.1089,0.0249,0.0000
target,22,-0.1382,-1.0005,0.4596,-1.1358
pos,23,-0.1348,-1.0286,0.4031,-1.1028
input,23,-0.0000,0.1073,0.0245,0.0000
target,23,-0.1370,-1.0068,0.4546,-1.1342
pos,24,-0.1325,-1.0348,0.3973,-1.0888
input,24,-0.0000,0.1057,0.0242,0.0000
target,24,-0.1357,-1.0129,0.4497,-1.1325
pos,25,-0.1322,-1.0375,0.3949,-1.0680
input,25,-0.0000,0.1041,0.0238,0.0000
target,25,-0.1343,-1.0190,0.4448,-1.1303
pos,26,-0.1295,-1.0457,0.3889,-1.0932
input,26,-0.0000,0.1025,0.0234,0.0000
target,26,-0.1330,-1.0245,0.4401,-1.1272
pos,27,-0.1281,-1.0517,0.3818,-1.0729
input,27,-0.0000,0.1010,0.0231,0.0000
target,27,-0.1315,-1.0304,0.4352,-1.1254
pos,28,-0.1272,-1.0568,0.3759,-1.0819
input,28,-0.0000,0.1145,0.0227,0.0000
target,28,-0.1301,-1.0362,0.4301,-1.1228
pos,29,-0.1242,-1.0644,0.3692,-1.0766
input,29,-0.0000,0.1278,0.0224,0.0000
target,29,-0.1287,-1.0419,0.4250,-1.1207
pos,30,-0.1237,-1.0696,0.3628,-1.0923
input,30,-0.0000,0.1408,0.0221,0.0000
target,30,-0.1271,-1.0478,0.4197,-1.1184
pos,31,-0.1215,-1.0749,0.3586,-1.0796
input,31,-0.0000,0.1537,0.0217,0.0000
target,31,-0.1271,-1.0478,0.4197,-1.1184
pos,32,-0.1206,-1.0769,0.3558,-1.0639
input,32,-0.0000,0.1664,0.0214,0.0000
target,32,-0.1241,-1.0592,0.4090,-1.1151
pos,33,-0.1185,-1.0850,0.3471,-1.1020
input,33,-0.0000,0.1789,0.0211,0.0000
target,33,-0.1227,-1.0643,0.4040,-1.1125
pos,34,-0.1181,-1.0866,0.3446,-1.0739
input,34,-0.0000,0.1912,0.0208,0.0000
target,34,-0.1212,-1.0698,0.3986,-1.1118
pos,35,-0.1164,-1.0928,0.3394,-1.0763
input,35,-0.0000,0.2034,0.0205,0.0000
target,35,-0.1198,-1.0747,0.3935,-1.1098
pos,36,-0.1152,-1.0967,0.3337,-1.0743
input,36,-0.0000,0.2153,0.0202,0.0000
target,36,-0.1184,-1.0797,0.3884,-1.1081
pos,37,-0.1149,-1.1019,0.3268,-1.0933
input,37,-0.0000,0.2271,0.0198,0.0000
target,37,-0.1170,-1.0846,0.3832,-1.1063
pos,38,-0.1117,-1.1092,0.3196,-1.0886
input,38,-0.0000,0.2387,0.0196,0.0000
target,38,-0.1170,-1.0846,0.3832,-1.1063
pos,39,-0.1105,-1.1134,0.3137,-1.0696
input,39,-0.0000,0.2501,0.0193,0.0000
target,39,-0.1144,-1.0946,0.3723,-1.1045
pos,40,-0.1104,-1.1184,0.3071,-1.0773
input,40,-0.0000,0.2614,0.0190,0.0000
target,40,-0.1129,-1.0996,0.3668,-1.1028
pos,41,-0.1094,-1.1209,0.3051,-1.0741
input,41,-0.0000,0.2724,0.0187,0.0000
target,41,-0.1117,-1.1045,0.3611,-1.1014
pos,42,-0.1070,-1.1282,0.2962,-1.0666
input,42,-0.0000,0.2834,0.0184,0.0000
target,42,-0.1105,-1.1091,0.3558,-1.1000
pos,43,-0.1061,-1.1307,0.2934,-1.0706
input,43,-0.0000,0.2941,0.0181,0.0000
target,43,-0.1091,-1.1140,0.3502,-1.0983
pos,44,-0.1067,-1.1349,0.2878,-1.0802
input,44,-0.0000,0.3047,0.0179,0.0000
target,44,-0.1078,-1.1185,0.3448,-1.0969
pos,45,-0.1058,-1.1426,0.2801,-1.0861
input,45,-0.0000,0.3151,0.0176,0.0000
target,45,-0.1068,-1.1230,0.3394,-1.0960
