delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,0,-0.9028,-1.5117,0.8555,-1.6879
pos,1,-0.9027,-1.5117,0.8555,-1.6879
pos,2,-0.9027,-1.5117,0.8553,-1.6879
pos,3,-0.9026,-1.5117,0.8552,-1.6879
pos,4,-0.9025,-1.5118,0.8549,-1.6880
pos,5,-0.9024,-1.5118,0.8546,-1.6880
pos,6,-0.9023,-1.5119,0.8543,-1.6880
pos,7,-0.9021,-1.5119,0.8538,-1.6880
pos,8,-0.9019,-1.5120,0.8534,-1.6880
pos,9,-0.9017,-1.5120,0.8528,-1.6881
pos,10,-0.9014,-1.5121,0.8522,-1.6881
pos,11,-0.9012,-1.5122,0.8515,-1.6881
pos,12,-0.9009,-1.5123,0.8508,-1.6881
pos,13,-0.9006,-1.5124,0.8500,-1.6882
pos,14,-0.9002,-1.5125,0.8492,-1.6882
pos,15,-0.8999,-1.5126,0.8483,-1.6883
pos,16,-0.8995,-1.5128,0.8474,-1.6883
pos,17,-0.8991,-1.5129,0.8464,-1.6883
pos,18,-0.8986,-1.5131,0.8454,-1.6884
pos,19,-0.8981,-1.5132,0.8443,-1.6884
pos,20,-0.8977,-1.5134,0.8433,-1.6885
pos,21,-0.8971,-1.5136,0.8421,-1.6885
pos,22,-0.8966,-1.5138,0.8410,-1.6886
pos,23,-0.8960,-1.5140,0.8398,-1.6886
pos,24,-0.8954,-1.5142,0.8386,-1.6887
pos,25,-0.8948,-1.5144,0.8373,-1.6887
pos,26,-0.8942,-1.5147,0.8360,-1.6888
pos,27,-0.8935,-1.5149,0.8347,-1.6888
pos,28,-0.8928,-1.5152,0.8334,-1.6889
pos,29,-0.8921,-1.5155,0.8320,-1.6889
pos,30,-0.8913,-1.5158,0.8306,-1.6889
pos,31,-0.8905,-1.5161,0.8292,-1.6890
pos,32,-0.8897,-1.5164,0.8278,-1.6890
pos,33,-0.8888,-1.5167,0.8263,-1.6890
pos,34,-0.8879,-1.5171,0.8248,-1.6891
pos,35,-0.8870,-1.5174,0.8233,-1.6891
pos,36,-0.8860,-1.5178,0.8218,-1.6892
pos,37,-0.8851,-1.5182,0.8203,-1.6892
pos,38,-0.8840,-1.5186,0.8187,-1.6893
pos,39,-0.8830,-1.5190,0.8171,-1.6893
pos,40,-0.8819,-1.5194,0.8155,-1.6894
pos,41,-0.8807,-1.5199,0.8139,-1.6894
pos,42,-0.8796,-1.5204,0.8122,-1.6894
pos,43,-0.8784,-1.5208,0.8106,-1.6895
pos,44,-0.8771,-1.5213,0.8089,-1.6895
pos,45,-0.8758,-1.5218,0.8072,-1.6896
pos,46,-0.8745,-1.5224,0.8055,-1.6896
pos,47,-0.8731,-1.5229,0.8038,-1.6897
pos,48,-0.8717,-1.5235,0.8021,-1.6897
pos,49,-0.8702,-1.5241,0.8004,-1.6897
pos,50,-0.8687,-1.5247,0.7987,-1.6898
pos,51,-0.8671,-1.5253,0.7970,-1.6898
pos,52,-0.8655,-1.5259,0.7952,-1.6898
pos,53,-0.8638,-1.5266,0.7934,-1.6899
pos,54,-0.8621,-1.5273,0.7917,-1.6899
pos,55,-0.8604,-1.5279,0.7899,-1.6900
pos,56,-0.8585,-1.5287,0.7881,-1.6900
pos,57,-0.8566,-1.5294,0.7863,-1.6900
pos,58,-0.8547,-1.5302,0.7845,-1.6900
pos,59,-0.8527,-1.5309,0.7827,-1.6901
pos,60,-0.8506,-1.5317,0.7809,-1.6901
pos,61,-0.8485,-1.5326,0.7790,-1.6901
pos,62,-0.8463,-1.5334,0.7772,-1.6901
pos,63,-0.8441,-1.5343,0.7753,-1.6902
pos,64,-0.8417,-1.5351,0.7735,-1.6902
pos,65,-0.8393,-1.5361,0.7716,-1.6902
pos,66,-0.8369,-1.5370,0.7697,-1.6903
pos,67,-0.8343,-1.5380,0.7679,-1.6903
pos,68,-0.8317,-1.5389,0.7660,-1.6903
pos,69,-0.8290,-1.5399,0.7641,-1.6903
pos,70,-0.8262,-1.5410,0.7622,-1.6903
