delay,25
params,0.7160,0.6421,0.9094,0.0015
pos,0,-1.7113,-2.2166,1.4441,-3.1466
pos,1,-1.7113,-2.2166,1.4442,-3.1466
pos,2,-1.7114,-2.2166,1.4444,-3.1466
pos,3,-1.7114,-2.2166,1.4447,-3.1466
pos,4,-1.7115,-2.2167,1.4450,-3.1466
pos,5,-1.7116,-2.2167,1.4453,-3.1466
pos,6,-1.7118,-2.2167,1.4456,-3.1466
pos,7,-1.7119,-2.2168,1.4460,-3.1466
pos,8,-1.7120,-2.2168,1.4463,-3.1467
pos,9,-1.7122,-2.2169,1.4466,-3.1467
pos,10,-1.7123,-2.2169,1.4469,-3.1467
pos,11,-1.7124,-2.2170,1.4471,-3.1467
pos,12,-1.7126,-2.2170,1.4474,-3.1467
pos,13,-1.7127,-2.2171,1.4476,-3.1468
pos,14,-1.7129,-2.2171,1.4478,-3.1468
pos,15,-1.7130,-2.2171,1.4480,-3.1468
pos,16,-1.7131,-2.2171,1.4481,-3.1469
pos,17,-1.7132,-2.2172,1.4483,-3.1469
pos,18,-1.7134,-2.2172,1.4484,-3.1469
pos,19,-1.7135,-2.2172,1.4485,-3.1470
pos,20,-1.7136,-2.2172,1.4487,-3.1470
pos,21,-1.7137,-2.2173,1.4488,-3.1470
pos,22,-1.7138,-2.2173,1.4489,-3.1471
pos,23,-1.7139,-2.2173,1.4489,-3.1471
pos,24,-1.7140,-2.2173,1.4490,-3.1472
pos,25,-1.7141,-2.2173,1.4491,-3.1472
pos,26,-1.7142,-2.2173,1.4492,-3.1472
pos,27,-1.7142,-2.2173,1.4493,-3.1471
pos,28,-1.7143,-2.2173,1.4493,-3.1470
pos,29,-1.7143,-2.2173,1.4494,-3.1470
pos,30,-1.7143,-2.2173,1.4494,-3.1469
pos,31,-1.7144,-2.2173,1.4494,-3.1468
pos,32,-1.7144,-2.2173,1.4495,-3.1468
pos,33,-1.7144,-2.2173,1.4495,-3.1467
pos,34,-1.7144,-2.2173,1.4495,-3.1466
pos,35,-1.7145,-2.2173,1.4495,-3.1466
pos,36,-1.7145,-2.2173,1.4495,-3.1465
pos,37,-1.7145,-2.2173,1.4495,-3.1464
pos,38,-1.7145,-2.2173,1.4495,-3.1464
pos,39,-1.7145,-2.2174,1.4495,-3.1463
pos,40,-1.7145,-2.2174,1.4495,-3.1462
pos,41,-1.7145,-2.2174,1.4495,-3.1462
pos,42,-1.7145,-2.2174,1.4495,-3.1461
pos,43,-1.7145,-2.2174,1.4494,-3.1460
pos,44,-1.7145,-2.2174,1.4494,-3.1460
pos,45,-1.7146,-2.2175,1.4494,-3.1459
pos,46,-1.7146,-2.2175,1.4493,-3.1458
pos,47,-1.7146,-2.2175,1.4492,-3.1458
pos,48,-1.7146,-2.2176,1.4492,-3.1457
pos,49,-1.7146,-2.2177,1.4491,-3.1456
pos,50,-1.7147,-2.2178,1.4490,-3.1456
pos,51,-1.7147,-2.2179,1.4488,-3.1455
pos,52,-1.7148,-2.2180,1.4486,-3.1454
pos,53,-1.7148,-2.2181,1.4484,-3.1453
pos,54,-1.7149,-2.2182,1.4482,-3.1453
pos,55,-1.7149,-2.2183,1.4481,-3.1452
pos,56,-1.7148,-2.2184,1.4479,-3.1451
pos,57,-1.7148,-2.2184,1.4478,-3.1451
pos,58,-1.7147,-2.2184,1.4478,-3.1450
pos,59,-1.7146,-2.2184,1.4477,-3.1450
pos,60,-1.7145,-2.2184,1.4477,-3.1449
pos,61,-1.7143,-2.2183,1.4477,-3.1449
pos,62,-1.7142,-2.2183,1.4479,-3.1448
pos,63,-1.7140,-2.2182,1.4481,-3.1448
pos,64,-1.7139,-2.2181,1.4485,-3.1448
pos,65,-1.7137,-2.2181,1.4490,-3.1447
pos,66,-1.7136,-2.2180,1.4496,-3.1447
pos,67,-1.7134,-2.2179,1.4504,-3.1447
pos,68,-1.7132,-2.2178,1.4512,-3.1446
pos,69,-1.7131,-2.2177,1.4522,-3.1446
pos,70,-1.7129,-2.2176,1.4532,-3.1446
pos,71,-1.7128,-2.2175,1.4542,-3.1446
pos,72,-1.7127,-2.2174,1.4555,-3.1445
pos,73,-1.7125,-2.2174,1.4571,-3.1445
pos,74,-1.7124,-2.2173,1.4589,-3.1445
pos,75,-1.7123,-2.2172,1.4609,-3.1445
pos,76,-1.7121,-2.2171,1.4631,-3.1445
pos,77,-1.7120,-2.2170,1.4656,-3.1445
pos,78,-1.7119,-2.2170,1.4685,-3.1445
pos,79,-1.7117,-2.2169,1.4717,-3.1444
pos,80,-1.7116,-2.2168,1.4749,-3.1444
pos,81,-1.7115,-2.2168,1.4781,-3.1444
pos,82,-1.7114,-2.2167,1.4812,-3.1444
pos,83,-1.7112,-2.2167,1.4843,-3.1444
pos,84,-1.7111,-2.2167,1.4871,-3.1444
pos,85,-1.7111,-2.2166,1.4898,-3.1444
pos,86,-1.7110,-2.2166,1.4925,-3.1444
pos,87,-1.7109,-2.2166,1.4948,-3.1444
pos,88,-1.7109,-2.2166,1.4966,-3.1444
pos,89,-1.7109,-2.2166,1.4982,-3.1444
pos,90,-1.7108,-2.2166,1.4995,-3.1444
pos,91,-1.7108,-2.2165,1.5006,-3.1444
pos,92,-1.7108,-2.2165,1.5016,-3.1444
pos,93,-1.7108,-2.2165,1.5024,-3.1444
pos,94,-1.7108,-2.2165,1.5032,-3.1444
pos,95,-1.7108,-2.2165,1.5039,-3.1444
pos,96,-1.7108,-2.2165,1.5046,-3.1444
pos,97,-1.7108,-2.2165,1.5052,-3.1443
pos,98,-1.7108,-2.2165,1.5059,-3.1443
pos,99,-1.7108,-2.2165,1.5066,-3.1443
pos,100,-1.7108,-2.2165,1.5074,-3.1443
pos,101,-1.7108,-2.2165,1.5082,-3.1443
pos,102,-1.7108,-2.2165,1.5092,-3.1443
pos,103,-1.7108,-2.2165,1.5103,-3.1443
pos,104,-1.7108,-2.2166,1.5117,-3.1443
pos,105,-1.7108,-2.2166,1.5133,-3.1443
pos,106,-1.7108,-2.2166,1.5152,-3.1443
pos,107,-1.7109,-2.2166,1.5175,-3.1443
pos,108,-1.7109,-2.2166,1.5202,-3.1443
pos,109,-1.7109,-2.2166,1.5236,-3.1442
pos,110,-1.7110,-2.2167,1.5276,-3.1442
pos,111,-1.7111,-2.2167,1.5325,-3.1442
pos,112,-1.7111,-2.2168,1.5385,-3.1442
pos,113,-1.7112,-2.2168,1.5458,-3.1442
pos,114,-1.7114,-2.2169,1.5547,-3.1442
pos,115,-1.7115,-2.2170,1.5635,-3.1442
pos,116,-1.7117,-2.2170,1.5725,-3.1442
pos,117,-1.7119,-2.2171,1.5821,-3.1442
pos,118,-1.7121,-2.2172,1.5927,-3.1441
pos,119,-1.7124,-2.2173,1.6046,-3.1441
pos,120,-1.7128,-2.2173,1.6184,-3.1441
pos,121,-1.7131,-2.2174,1.6302,-3.1441
pos,122,-1.7133,-2.2175,1.6402,-3.1441
pos,123,-1.7136,-2.2175,1.6489,-3.1441
pos,124,-1.7138,-2.2175,1.6566,-3.1441
pos,125,-1.7139,-2.2176,1.6636,-3.1441
pos,126,-1.7141,-2.2176,1.6698,-3.1441
pos,127,-1.7142,-2.2176,1.6756,-3.1441
pos,128,-1.7143,-2.2176,1.6810,-3.1441
pos,129,-1.7144,-2.2176,1.6862,-3.1442
pos,130,-1.7145,-2.2176,1.6914,-3.1442
pos,131,-1.7146,-2.2176,1.6970,-3.1442
pos,132,-1.7146,-2.2176,1.7029,-3.1442
pos,133,-1.7147,-2.2175,1.7095,-3.1443
