pos,0,-1.2670,-2.0698,1.6117,3.0861
input,0,0.0812,0.0366,0.0028,0.0338
target,0,-1.2133,-2.0609,1.6385,3.0948
pos,1,-1.2671,-2.0697,1.6116,3.0839
input,1,0.0826,0.0390,0.0040,0.0332
target,1,-1.2133,-2.0609,1.6385,3.0948
pos,2,-1.2671,-2.0697,1.6116,3.0839
input,2,0.0824,0.0421,0.0042,0.0321
target,2,-1.2133,-2.0609,1.6385,3.0948
pos,3,-1.2671,-2.0697,1.6116,3.0839
input,3,0.0839,0.0443,0.0043,0.0316
target,3,-1.2133,-2.0609,1.6385,3.0948
pos,4,-1.2671,-2.0697,1.6116,3.0839
input,4,0.0862,0.0461,0.0051,0.0315
target,4,-1.2133,-2.0609,1.6385,3.0948
pos,5,-1.2671,-2.0697,1.6116,3.0839
input,5,0.0878,0.0481,0.0054,0.0312
target,5,-1.2133,-2.0609,1.6385,3.0948
pos,6,-1.2671,-2.0697,1.6116,3.0839
input,6,0.0897,0.0499,0.0061,0.0311
target,6,-1.2133,-2.0609,1.6385,3.0948
pos,7,-1.2671,-2.0697,1.6116,3.0839
input,7,0.0911,0.0517,0.0065,0.0310
target,7,-1.2133,-2.0609,1.6385,3.0948
pos,8,-1.2671,-2.0697,1.6116,3.0839
input,8,0.0926,0.0534,0.0071,0.0309
target,8,-1.2133,-2.0609,1.6385,3.0948
pos,9,-1.2671,-2.0697,1.6116,3.0839
input,9,0.0936,0.0549,0.0074,0.0309
target,9,-1.2133,-2.0609,1.6385,3.0948
pos,10,-1.2671,-2.0697,1.6116,3.0839
input,10,0.0945,0.0563,0.0079,0.0309
target,10,-1.2133,-2.0609,1.6385,3.0948
pos,11,-1.2671,-2.0697,1.6116,3.0839
input,11,0.0951,0.0575,0.0081,0.0309
target,11,-1.2133,-2.0609,1.6385,3.0948
pos,12,-1.2671,-2.0697,1.6116,3.0839
input,12,0.0957,0.0585,0.0084,0.0309
target,12,-1.2133,-2.0609,1.6385,3.0948
pos,13,-1.2671,-2.0697,1.6116,3.0839
input,13,0.0960,0.0592,0.0086,0.0310
target,13,-1.2133,-2.0609,1.6385,3.0948
pos,14,-1.2671,-2.0697,1.6116,3.0839
input,14,0.0956,0.0606,0.0087,0.0307
target,14,-1.2133,-2.0609,1.6385,3.0948
pos,15,-1.2671,-2.0697,1.6116,3.0839
input,15,0.0957,0.0608,0.0088,0.0308
target,15,-1.2133,-2.0609,1.6385,3.0948
pos,16,-1.2671,-2.0697,1.6116,3.0839
input,16,0.0962,0.0600,0.0090,0.0313
target,16,-1.2133,-2.0609,1.6385,3.0948
pos,17,-1.2756,-2.0713,1.6155,3.0914
input,17,0.0963,0.0594,0.0091,0.0316
target,17,-1.2133,-2.0609,1.6385,3.0948
pos,18,-1.2756,-2.0714,1.6157,3.0903
input,18,0.0956,0.0597,0.0090,0.0316
target,18,-1.2133,-2.0609,1.6385,3.0948
pos,19,-1.2765,-2.0717,1.6163,3.0921
input,19,0.0957,0.0583,0.0091,0.0321
target,19,-1.2133,-2.0609,1.6385,3.0948
pos,20,-1.2776,-2.0719,1.6168,3.0824
input,20,0.0979,0.0555,0.0087,0.0321
target,20,-1.2133,-2.0609,1.6385,3.0948
pos,21,-1.2776,-2.0719,1.6168,3.0824
input,21,0.0995,0.0531,0.0084,0.0320
target,21,-1.2133,-2.0609,1.6385,3.0948
pos,22,-1.2777,-2.0716,1.6171,3.0875
input,22,0.1023,0.0501,0.0077,0.0315
target,22,-1.2133,-2.0609,1.6385,3.0948
pos,23,-1.2777,-2.0716,1.6171,3.0875
input,23,0.1046,0.0473,0.0076,0.0309
target,23,-1.2133,-2.0609,1.6385,3.0948
pos,24,-1.2777,-2.0716,1.6171,3.0875
input,24,0.1074,0.0446,0.0073,0.0302
target,24,-1.2133,-2.0609,1.6385,3.0948
pos,25,-1.2777,-2.0716,1.6171,3.0875
input,25,0.1095,0.0420,0.0071,0.0295
target,25,-1.2133,-2.0609,1.6385,3.0948
pos,26,-1.2777,-2.0716,1.6171,3.0875
input,26,0.1117,0.0397,0.0068,0.0287
target,26,-1.2133,-2.0609,1.6385,3.0948
pos,27,-1.2777,-2.0716,1.6171,3.0875
input,27,0.1116,0.0395,0.0065,0.0278
target,27,-1.2133,-2.0609,1.6385,3.0948
pos,28,-1.2777,-2.0716,1.6171,3.0875
input,28,0.1128,0.0377,0.0062,0.0272
target,28,-1.2133,-2.0609,1.6385,3.0948
pos,29,-1.2777,-2.0716,1.6171,3.0875
input,29,0.1146,0.0355,0.0059,0.0268
target,29,-1.2133,-2.0609,1.6385,3.0948
pos,30,-1.2777,-2.0716,1.6171,3.0875
input,30,0.1150,0.0343,0.0056,0.0264
target,30,-1.2133,-2.0609,1.6385,3.0948
pos,31,-1.2777,-2.0716,1.6171,3.0875
input,31,0.1157,0.0331,0.0054,0.0263
target,31,-1.2133,-2.0609,1.6385,3.0948
pos,32,-1.2777,-2.0716,1.6171,3.0875
input,32,0.1154,0.0325,0.0051,0.0261
target,32,-1.2133,-2.0609,1.6385,3.0948
pos,33,-1.2777,-2.0716,1.6171,3.0875
input,33,0.1136,0.0336,0.0048,0.0256
target,33,-1.2133,-2.0609,1.6385,3.0948
pos,34,-1.2777,-2.0716,1.6171,3.0875
input,34,0.1131,0.0335,0.0046,0.0257
target,34,-1.2133,-2.0609,1.6385,3.0948
pos,35,-1.2777,-2.0716,1.6171,3.0875
input,35,0.1126,0.0330,0.0044,0.0259
target,35,-1.2133,-2.0609,1.6385,3.0948
pos,36,-1.2777,-2.0716,1.6171,3.0875
input,36,0.1115,0.0333,0.0042,0.0260
target,36,-1.2133,-2.0609,1.6385,3.0948
pos,37,-1.2777,-2.0716,1.6171,3.0875
input,37,0.1104,0.0334,0.0041,0.0263
target,37,-1.2133,-2.0609,1.6385,3.0948
pos,38,-1.2777,-2.0716,1.6171,3.0875
input,38,0.1090,0.0341,0.0040,0.0265
target,38,-1.2133,-2.0609,1.6385,3.0948
pos,39,-1.2777,-2.0716,1.6171,3.0875
input,39,0.1075,0.0346,0.0038,0.0268
target,39,-1.2133,-2.0609,1.6385,3.0948
pos,40,-1.2777,-2.0716,1.6171,3.0875
input,40,0.1060,0.0355,0.0037,0.0271
target,40,-1.2133,-2.0609,1.6385,3.0948
pos,41,-1.2777,-2.0716,1.6171,3.0875
input,41,0.1043,0.0363,0.0036,0.0274
target,41,-1.2133,-2.0609,1.6385,3.0948
pos,42,-1.2777,-2.0716,1.6171,3.0875
input,42,0.1016,0.0382,0.0035,0.0273
target,42,-1.2133,-2.0609,1.6385,3.0948
pos,43,-1.2777,-2.0716,1.6171,3.0875
input,43,0.1001,0.0392,0.0034,0.0276
target,43,-1.2133,-2.0609,1.6385,3.0948
pos,44,-1.2777,-2.0716,1.6171,3.0875
input,44,0.0990,0.0396,0.0034,0.0280
target,44,-1.2133,-2.0609,1.6385,3.0948
pos,45,-1.2777,-2.0716,1.6171,3.0875
input,45,0.0977,0.0405,0.0034,0.0283
target,45,-1.2133,-2.0609,1.6385,3.0948
pos,46,-1.2777,-2.0716,1.6171,3.0875
input,46,0.0966,0.0411,0.0034,0.0286
target,46,-1.2133,-2.0609,1.6385,3.0948
pos,47,-1.2777,-2.0716,1.6171,3.0875
input,47,0.0954,0.0420,0.0034,0.0289
target,47,-1.2133,-2.0609,1.6385,3.0948
pos,48,-1.2777,-2.0716,1.6171,3.0875
input,48,0.0934,0.0436,0.0034,0.0287
target,48,-1.2133,-2.0609,1.6385,3.0948
pos,49,-1.2777,-2.0716,1.6171,3.0875
input,49,0.0925,0.0443,0.0034,0.0290
target,49,-1.2133,-2.0609,1.6385,3.0948
pos,50,-1.2777,-2.0716,1.6171,3.0875
input,50,0.0920,0.0447,0.0035,0.0294
target,50,-1.2133,-2.0609,1.6385,3.0948
pos,51,-1.2777,-2.0716,1.6171,3.0875
input,51,0.0913,0.0453,0.0036,0.0296
target,51,-1.2133,-2.0609,1.6385,3.0948
pos,52,-1.2777,-2.0716,1.6171,3.0875
input,52,0.0909,0.0458,0.0037,0.0299
target,52,-1.2133,-2.0609,1.6385,3.0948
pos,53,-1.2777,-2.0716,1.6171,3.0875
input,53,0.0904,0.0464,0.0038,0.0301
target,53,-1.2133,-2.0609,1.6385,3.0948
pos,54,-1.2777,-2.0716,1.6171,3.0875
input,54,0.0901,0.0469,0.0039,0.0303
target,54,-1.2133,-2.0609,1.6385,3.0948
pos,55,-1.2777,-2.0716,1.6171,3.0875
input,55,0.0899,0.0474,0.0040,0.0305
target,55,-1.2133,-2.0609,1.6385,3.0948
pos,56,-1.2777,-2.0716,1.6171,3.0875
input,56,0.0888,0.0487,0.0040,0.0303
target,56,-1.2133,-2.0609,1.6385,3.0948
pos,57,-1.2777,-2.0716,1.6171,3.0875
input,57,0.0889,0.0490,0.0041,0.0304
target,57,-1.2133,-2.0609,1.6385,3.0948
pos,58,-1.2777,-2.0716,1.6171,3.0875
input,58,0.0897,0.0486,0.0042,0.0307
target,58,-1.2133,-2.0609,1.6385,3.0948
pos,59,-1.2777,-2.0716,1.6171,3.0875
input,59,0.0902,0.0486,0.0043,0.0308
target,59,-1.2133,-2.0609,1.6385,3.0948
pos,60,-1.2777,-2.0716,1.6171,3.0875
input,60,0.0911,0.0482,0.0044,0.0310
target,60,-1.2133,-2.0609,1.6385,3.0948
pos,61,-1.2777,-2.0716,1.6171,3.0875
input,61,0.0919,0.0479,0.0045,0.0310
target,61,-1.2133,-2.0609,1.6385,3.0948
pos,62,-1.2777,-2.0716,1.6171,3.0875
input,62,0.0930,0.0474,0.0046,0.0311
target,62,-1.2133,-2.0609,1.6385,3.0948
pos,63,-1.2777,-2.0716,1.6171,3.0875
input,63,0.0940,0.0468,0.0047,0.0311
target,63,-1.2133,-2.0609,1.6385,3.0948
pos,64,-1.2777,-2.0716,1.6171,3.0875
input,64,0.0953,0.0461,0.0048,0.0311
target,64,-1.2133,-2.0609,1.6385,3.0948
pos,65,-1.2777,-2.0716,1.6171,3.0875
input,65,0.0950,0.0468,0.0048,0.0307
target,65,-1.2133,-2.0609,1.6385,3.0948
pos,66,-1.2777,-2.0716,1.6171,3.0875
input,66,0.0963,0.0461,0.0048,0.0306
target,66,-1.2133,-2.0609,1.6385,3.0948
pos,67,-1.2777,-2.0716,1.6171,3.0875
input,67,0.0984,0.0445,0.0050,0.0306
target,67,-1.2133,-2.0609,1.6385,3.0948
pos,68,-1.2777,-2.0716,1.6171,3.0875
input,68,0.0997,0.0436,0.0050,0.0305
target,68,-1.2133,-2.0609,1.6385,3.0948
pos,69,-1.2836,-2.0714,1.6182,3.1370
input,69,0.1015,0.0423,0.0051,0.0304
target,69,-1.2133,-2.0609,1.6385,3.0948
pos,70,-1.2836,-2.0714,1.6182,3.1370
input,70,0.1028,0.0415,0.0051,0.0302
target,70,-1.2133,-2.0609,1.6385,3.0948
pos,71,-1.2866,-2.0705,1.6229,3.0882
input,71,0.1042,0.0404,0.0052,0.0301
target,71,-1.2133,-2.0609,1.6385,3.0948
pos,72,-1.2866,-2.0705,1.6229,3.0882
input,72,0.1062,0.0389,0.0024,0.0297
target,72,-1.2133,-2.0609,1.6385,3.0948
pos,73,-1.2866,-2.0705,1.6229,3.0882
input,73,0.1059,0.0395,0.0013,0.0291
target,73,-1.2133,-2.0609,1.6385,3.0948
pos,74,-1.2866,-2.0705,1.6229,3.0882
input,74,0.1079,0.0380,-0.0024,0.0286
target,74,-1.2133,-2.0609,1.6385,3.0948
pos,75,-1.2983,-2.0656,1.6109,3.0898
