delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,0,-1.7129,-2.2173,1.4561,-3.1452
pos,1,-1.7129,-2.2173,1.4561,-3.1452
pos,2,-1.7129,-2.2173,1.4561,-3.1452
pos,3,-1.7129,-2.2173,1.4561,-3.1452
pos,4,-1.7130,-2.2173,1.4562,-3.1452
pos,5,-1.7130,-2.2173,1.4562,-3.1452
pos,6,-1.7130,-2.2173,1.4563,-3.1452
pos,7,-1.7130,-2.2173,1.4564,-3.1453
pos,8,-1.7130,-2.2173,1.4564,-3.1453
pos,9,-1.7130,-2.2173,1.4565,-3.1453
pos,10,-1.7130,-2.2173,1.4566,-3.1453
pos,11,-1.7130,-2.2173,1.4567,-3.1454
pos,12,-1.7130,-2.2173,1.4568,-3.1454
pos,13,-1.7131,-2.2173,1.4569,-3.1455
pos,14,-1.7131,-2.2173,1.4571,-3.1455
pos,15,-1.7131,-2.2173,1.4572,-3.1455
pos,16,-1.7131,-2.2173,1.4573,-3.1456
pos,17,-1.7131,-2.2174,1.4575,-3.1456
pos,18,-1.7131,-2.2174,1.4576,-3.1457
pos,19,-1.7132,-2.2174,1.4578,-3.1457
pos,20,-1.7132,-2.2174,1.4580,-3.1458
pos,21,-1.7132,-2.2174,1.4582,-3.1458
pos,22,-1.7132,-2.2174,1.4583,-3.1459
pos,23,-1.7132,-2.2174,1.4585,-3.1460
pos,24,-1.7132,-2.2174,1.4587,-3.1460
pos,25,-1.7132,-2.2174,1.4589,-3.1461
pos,26,-1.7132,-2.2174,1.4591,-3.1462
pos,27,-1.7133,-2.2174,1.4594,-3.1462
pos,28,-1.7133,-2.2174,1.4596,-3.1463
pos,29,-1.7133,-2.2174,1.4598,-3.1463
pos,30,-1.7133,-2.2174,1.4601,-3.1464
pos,31,-1.7133,-2.2175,1.4603,-3.1464
pos,32,-1.7133,-2.2175,1.4606,-3.1465
pos,33,-1.7133,-2.2175,1.4609,-3.1465
pos,34,-1.7133,-2.2175,1.4612,-3.1465
pos,35,-1.7133,-2.2175,1.4615,-3.1466
pos,36,-1.7133,-2.2175,1.4618,-3.1466
pos,37,-1.7133,-2.2175,1.4621,-3.1466
pos,38,-1.7133,-2.2175,1.4624,-3.1466
pos,39,-1.7133,-2.2175,1.4627,-3.1466
pos,40,-1.7133,-2.2175,1.4631,-3.1466
pos,41,-1.7133,-2.2175,1.4634,-3.1466
pos,42,-1.7133,-2.2175,1.4638,-3.1466
pos,43,-1.7133,-2.2176,1.4642,-3.1466
pos,44,-1.7133,-2.2176,1.4645,-3.1466
pos,45,-1.7133,-2.2176,1.4649,-3.1466
pos,46,-1.7132,-2.2176,1.4654,-3.1466
pos,47,-1.7132,-2.2176,1.4658,-3.1466
pos,48,-1.7132,-2.2176,1.4662,-3.1465
pos,49,-1.7132,-2.2176,1.4667,-3.1465
pos,50,-1.7132,-2.2176,1.4671,-3.1465
pos,51,-1.7132,-2.2176,1.4676,-3.1463
pos,52,-1.7132,-2.2177,1.4681,-3.1462
pos,53,-1.7131,-2.2177,1.4686,-3.1460
pos,54,-1.7131,-2.2177,1.4692,-3.1459
pos,55,-1.7131,-2.2177,1.4697,-3.1458
pos,56,-1.7131,-2.2177,1.4703,-3.1457
pos,57,-1.7131,-2.2177,1.4709,-3.1456
pos,58,-1.7130,-2.2177,1.4715,-3.1454
pos,59,-1.7130,-2.2177,1.4721,-3.1454
pos,60,-1.7130,-2.2177,1.4727,-3.1453
pos,61,-1.7129,-2.2177,1.4734,-3.1452
pos,62,-1.7129,-2.2177,1.4741,-3.1451
pos,63,-1.7129,-2.2177,1.4748,-3.1450
pos,64,-1.7128,-2.2177,1.4755,-3.1450
pos,65,-1.7128,-2.2177,1.4763,-3.1449
pos,66,-1.7128,-2.2177,1.4771,-3.1448
pos,67,-1.7127,-2.2177,1.4779,-3.1448
pos,68,-1.7127,-2.2177,1.4787,-3.1447
pos,69,-1.7127,-2.2177,1.4796,-3.1447
pos,70,-1.7126,-2.2177,1.4804,-3.1446
pos,71,-1.7126,-2.2177,1.4813,-3.1446
pos,72,-1.7125,-2.2177,1.4823,-3.1446
pos,73,-1.7125,-2.2178,1.4832,-3.1445
pos,74,-1.7125,-2.2178,1.4842,-3.1445
pos,75,-1.7124,-2.2178,1.4852,-3.1445
pos,76,-1.7124,-2.2178,1.4862,-3.1444
pos,77,-1.7123,-2.2178,1.4872,-3.1444
pos,78,-1.7123,-2.2178,1.4883,-3.1444
pos,79,-1.7123,-2.2178,1.4893,-3.1444
pos,80,-1.7122,-2.2178,1.4904,-3.1444
pos,81,-1.7122,-2.2178,1.4915,-3.1444
