pos,0,-2.1392,-3.0405,1.1626,-0.0090
input,0,-0.0205,0.0976,0.0093,0.1315
target,0,-2.0000,-3.0000,1.3000,0.0000
param,0,1.0611,0.4470,0.9554,-0.2000
pos,1,-2.1382,-3.0399,1.1635,-0.0098
input,1,-0.0205,0.0976,0.0093,0.1315
target,1,-2.0000,-1.5000,1.3000,0.0000
param,1,1.0611,0.4471,0.9554,-0.2000
pos,2,-2.1371,-3.0394,1.1644,-0.0101
input,2,-0.4247,-0.1415,-0.0342,-0.0282
target,2,-2.0000,-1.5000,1.3000,0.0000
param,2,1.0611,0.4471,0.9554,-0.2000
pos,3,-2.1360,-3.0389,1.1653,-0.0102
input,3,-0.4247,-0.1415,-0.0342,-0.0282
target,3,-2.0000,-1.5000,1.3000,0.0000
param,3,1.0611,0.4471,0.9554,-0.2000
pos,4,-2.1350,-3.0385,1.1664,-0.0093
input,4,-0.4247,-0.1415,-0.0342,-0.0282
target,4,-2.0000,-1.5000,1.3000,0.0000
param,4,1.0611,0.4471,0.9554,-0.2000
pos,5,-2.1339,-3.0380,1.1676,-0.0082
input,5,-0.4192,-0.1313,-0.0334,-0.0289
target,5,-2.0000,-1.5000,1.3000,0.0000
param,5,1.0611,0.4471,0.9554,-0.2000
pos,6,-2.1330,-3.0376,1.1686,-0.0072
input,6,-0.4192,-0.1313,-0.0334,-0.0289
target,6,-2.0000,-1.5000,1.3000,0.0000
param,6,1.0611,0.4471,0.9554,-0.2000
pos,7,-2.1323,-3.0373,1.1695,-0.0062
input,7,-0.4167,-0.1243,-0.0319,-0.0287
target,7,-2.0000,-1.5000,1.3000,0.0000
param,7,1.0611,0.4471,0.9554,-0.2000
pos,8,-2.1311,-3.0367,1.1706,-0.0065
input,8,-0.4167,-0.1243,-0.0319,-0.0287
target,8,-2.0000,-1.5000,1.3000,0.0000
param,8,1.0611,0.4471,0.9554,-0.2000
pos,9,-2.1299,-3.0362,1.1718,-0.0066
input,9,-0.4138,-0.1182,-0.0299,-0.0286
target,9,-2.0000,-1.5000,1.3000,0.0000
param,9,1.0611,0.4471,0.9554,-0.2000
pos,10,-2.1287,-3.0356,1.1729,-0.0072
input,10,-0.4138,-0.1182,-0.0299,-0.0286
target,10,-2.0000,-1.5000,1.3000,0.0000
param,10,1.0611,0.4471,0.9554,-0.2000
pos,11,-2.1275,-3.0351,1.1741,-0.0074
input,11,-0.4138,-0.1182,-0.0299,-0.0286
target,11,-2.0000,-1.5000,1.3000,0.0000
param,11,1.0611,0.4471,0.9554,-0.2000
pos,12,-2.1264,-3.0347,1.1752,-0.0074
input,12,-0.4087,-0.1102,-0.0271,-0.0288
target,12,-2.0000,-1.5000,1.3000,0.0000
param,12,1.0611,0.4471,0.9554,-0.2000
pos,13,-2.1255,-3.0343,1.1762,-0.0073
input,13,-0.4087,-0.1102,-0.0271,-0.0288
target,13,-2.0000,-1.5000,1.3000,0.0000
param,13,1.0611,0.4471,0.9554,-0.2000
pos,14,-2.1243,-3.0338,1.1775,-0.0080
input,14,-0.4055,-0.1044,-0.0245,-0.0284
target,14,-2.0000,-1.5000,1.3000,0.0000
param,14,1.0611,0.4471,0.9554,-0.2000
pos,15,-2.1232,-3.0333,1.1787,-0.0084
input,15,-0.4055,-0.1044,-0.0245,-0.0284
target,15,-2.0000,-1.5000,1.3000,0.0000
param,15,1.0611,0.4471,0.9554,-0.2000
pos,16,-2.1221,-3.0328,1.1799,-0.0088
input,16,-0.4055,-0.1044,-0.0245,-0.0284
target,16,-2.0000,-1.5000,1.3000,0.0000
param,16,1.0611,0.4471,0.9554,-0.2000
pos,17,-2.1212,-3.0324,1.1810,-0.0093
input,17,-0.4000,-0.0966,-0.0217,-0.0285
target,17,-2.0000,-1.5000,1.3000,0.0000
param,17,1.0611,0.4471,0.9554,-0.2000
pos,18,-2.1204,-3.0321,1.1820,-0.0097
input,18,-0.4000,-0.0966,-0.0217,-0.0285
target,18,-2.0000,-1.5000,1.3000,0.0000
param,18,1.0611,0.4471,0.9554,-0.2000
